1574.956 2998.250 0.000 2.529 0.356 169.547 2.029
1575.933 3002.021 0.000 0.745 0.495 174.502 0.923
1577.359 3007.648 0.000 1.175 0.359 3.797 1.418
1573.470 2996.082 0.000 0.742 0.370 177.508 0.720
1575.477 2999.715 0.000 5.971 0.824 75.203 0.655
1569.428 2986.618 0.000 1.764 0.489 159.166 1.573
1569.893 2991.180 0.000 0.743 0.343 147.910 0.905
1573.125 2988.457 0.000 1.594 0.585 167.875 1.467
1569.360 2980.805 0.000 11.834 0.795 150.604 1.897
1569.470 2981.707 0.000 15.000 0.872 72.362 1.024
1573.758 2993.762 0.000 0.725 0.400 2.460 0.753
1571.525 2995.832 0.000 0.942 0.097 124.503 1.234
1575.089 2995.351 0.000 0.705 0.381 167.774 0.735
1574.146 2994.851 0.000 0.887 0.618 168.548 0.500
1573.756 2991.169 0.000 0.400 0.290 161.838 0.500
1572.354 2992.458 0.000 15.000 0.238 109.887 3.457
1577.202 3001.249 0.000 3.531 0.507 16.081 2.420
1577.389 3005.263 0.000 0.602 0.332 161.900 0.758
1573.990 2997.102 0.000 0.981 0.502 165.035 0.739
